Month,christmas: (United States)
2004-01,4
2004-02,2
2004-03,2
2004-04,2
2004-05,2
2004-06,2
2004-07,2
2004-08,3
2004-09,4
2004-10,9
2004-11,33
2004-12,77
2005-01,4
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,3
2005-09,4
2005-10,9
2005-11,33
2005-12,77
2006-01,4
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,3
2006-09,4
2006-10,10
2006-11,34
2006-12,75
2007-01,4
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,3
2007-09,4
2007-10,9
2007-11,35
2007-12,74
2008-01,4
2008-02,2
2008-03,2
2008-04,2
2008-05,2
2008-06,2
2008-07,2
2008-08,3
2008-09,4
2008-10,8
2008-11,29
2008-12,71
2009-01,4
2009-02,2
2009-03,2
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,4
2009-10,8
2009-11,28
2009-12,72
2010-01,4
2010-02,2
2010-03,2
2010-04,2
2010-05,1
2010-06,2
2010-07,2
2010-08,2
2010-09,3
2010-10,6
2010-11,26
2010-12,66
2011-01,5
2011-02,3
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,3
2011-09,4
2011-10,8
2011-11,32
2011-12,77
2012-01,5
2012-02,3
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,3
2012-09,4
2012-10,8
2012-11,33
2012-12,77
2013-01,5
2013-02,2
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,3
2013-09,4
2013-10,8
2013-11,31
2013-12,83
2014-01,5
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,3
2014-08,3
2014-09,4
2014-10,8
2014-11,32
2014-12,86
2015-01,5
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,5
2015-10,9
2015-11,36
2015-12,91
2016-01,5
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,3
2016-08,3
2016-09,5
2016-10,10
2016-11,42
2016-12,95
2017-01,6
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,2
2017-07,3
2017-08,3
2017-09,5
2017-10,11
2017-11,48
2017-12,100
2018-01,6
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,3
2018-08,4
2018-09,6
2018-10,11
2018-11,49
2018-12,100
2019-01,6
2019-02,2
2019-03,2
2019-04,2
2019-05,2
2019-06,2
2019-07,3
2019-08,4
2019-09,6
2019-10,12
2019-11,44
2019-12,99
2020-01,6
2020-02,3
2020-03,2
